Mês Ano,Área de atuação (Função),Subfunção,Valor Empenhado,Valor Liquidado,Valor Pago,Valor Restos a Pagar Pagos
jan.-22,07 - Relações exteriores,691 - Promoção comercial ,"98.384,80","98.384,80","98.384,80","256.005,79"
jan.-22,11 - Trabalho,125 - Normatização e fiscalização,"1.438.476,87","741.501,52","739.934,50","641.163,29"
jan.-22,20 - Agricultura,691 - Promoção comercial ,"1.495.167,23","359.871,38","313.125,77","269.497,89"
jan.-22,18 - Gestão ambiental,543 - Recuperação de áreas degradadas,"1.200,00","1.200,00","1.200,00","59.624,75"
jan.-22,12 - Educação,846 - Outros encargos especiais,"7.203.799.869,83","605.909.178,71","605.902.061,05","6.335.907,61"
jan.-22,19 - Ciência e Tecnologia,846 - Outros encargos especiais,"203.433.693,00","15.082.681,00","15.071.770,52","13.731,46"
jan.-22,04 - Administração,846 - Outros encargos especiais,"1.374.820.889,95","177.514.798,22","159.113.622,54","18.930.322,18"
jan.-22,19 - Ciência e Tecnologia,573 - Difusão do conhecimento científico e tecnológico,"43.050,00","12.822,87","3.575,53","3.464.881,35"
jan.-22,22 - Indústria,301 - Atenção básica,"23.590.053,60","2.738.280,91","353.654,73","4.521.377,29"
jan.-22,04 - Administração,124 - Controle interno,"9.357.824,03","49.031,05","9.448,53","2.132.859,92"
jan.-22,28 - Encargos especiais,122 - Administração geral,0,0,0,"161.630.852,77"
jan.-22,17 - Saneamento,512 - Saneamento básico urbano,"5.082,50",0,0,"20.583.571,17"
jan.-22,28 - Encargos especiais,844 - Serviço da dívida externa,"3.737.220.859,43","3.737.220.856,43","3.737.220.856,43",0
jan.-22,25 - Energia,125 - Normatização e fiscalização,"2.578.042,82","192.068,72","192.068,72","2.221.177,41"
jan.-22,04 - Administração,129 - Administração de receitas,0,0,0,"1.094.954,14"
jan.-22,07 - Relações exteriores,128 - Formação de recursos humanos,"291.070,33","29.050,92",0,"586.278,06"
jan.-22,05 - Defesa nacional,482 - Habitação urbana,"265.798.813,29","5.587.582,33","5.574.123,98","12.411.882,54"
jan.-22,12 - Educação,847 - Transferências para a educação básica,"26.801.079.253,00","1.539.700.861,78","1.539.700.861,78","3.399.260.309,55"
jan.-22,24 - Comunicações,122 - Administração geral,"655.676.912,68","59.251.289,54","7.584.581,84","72.395.168,56"
jan.-22,10 - Saúde,126 - Tecnologia da informação,"49.774.869,84","12.105,32","12.105,32","13.272.613,40"
jan.-22,25 - Energia,752 - Energia elétrica,"4.069.237,12","2.686,98","2.686,98","845.888,75"
jan.-22,14 - Direitos da cidadania,846 - Outros encargos especiais,"75.573.682,00","4.038.400,56","3.989.026,58","58.921,48"
jan.-22,27 - Desporto e lazer,812 - Desporto comunitário,0,0,0,"2.189.678,90"
jan.-22,04 - Administração,128 - Formação de recursos humanos,"57.935,30","2.720,30",0,"400.082,34"
jan.-22,19 - Ciência e Tecnologia,662 - Produção industrial,"2.992.809,59","227.520,01","227.520,01","14.069.039,99"
jan.-22,08 - Assistência social,244 - Assistência comunitária,"34.523.976.000,00","7.169.215.045,00","7.168.728.945,00","2.506.496.989,36"
jan.-22,05 - Defesa nacional,151 - Defesa aérea,"18.269.024,76","72.949,47","14.375,83","103.944.409,75"
jan.-22,13 - Cultura,128 - Formação de recursos humanos,"58.971,08","1.371,08",0,"20.575,60"
jan.-22,04 - Administração,662 - Produção industrial,"4.088.581,95",0,0,"2.390.285,81"
jan.-22,25 - Energia,301 - Atenção básica,"26.893.692,19","2.081.866,74","265.793,80","1.881.223,21"
jan.-22,21 - Organização agrária,606 - Extensão rural,0,0,0,"1.303.350,22"
jan.-22,12 - Educação,367 - Educação especial,"2.763.008,22","67.457,18","17.499,41","577.049,20"
jan.-22,15 - Urbanismo,128 - Formação de recursos humanos,0,0,0,"43.069,70"
jan.-22,02 - Judiciária,061 - Ação judiciária,0,0,0,"35.591,26"
jan.-22,18 - Gestão ambiental,125 - Normatização e fiscalização,"15.642.253,50","6.301.219,98","1.015.074,10","10.113.067,62"
jan.-22,24 - Comunicações,125 - Normatização e fiscalização,"1.281.627,53","26.501,41","24.221,17","708.806,56"
jan.-22,06 - Segurança pública,181 - Policiamento,"358.666.149,56","25.078.011,37","20.155.947,78","34.341.036,29"
jan.-22,03 - Essencial à justiça,092 - Representação judicial e extrajudicial,"22.913.807,96","2.624.903,93","1.126.222,07","13.910.546,27"
jan.-22,14 - Direitos da cidadania,122 - Administração geral,"124.099.699,31","18.876.017,15","1.923.412,56","30.675.448,07"
jan.-22,10 - Saúde,128 - Formação de recursos humanos,"120.103.622,41","55.874.255,85","7.410.981,02","54.279.969,94"
jan.-22,19 - Ciência e Tecnologia,128 - Formação de recursos humanos,"308.100,00","301.303,69","282.500,00","92.105,42"
jan.-22,21 - Organização agrária,127 - Ordenamento territorial,"60.864,13","11.496,00","10.591,20","1.362.552,52"
jan.-22,10 - Saúde,305 - Vigilância epidemiológica ,"7.145.580.171,68","374.832.782,13","363.406.284,06","656.916.475,38"
jan.-22,12 - Educação,573 - Difusão do conhecimento científico e tecnológico,"369.951,89","1.979,33","1.979,33","19.238.341,26"
jan.-22,05 - Defesa nacional,212 - Cooperação internacional,"509.802,91","19.493,57","6.838,07","934.282,40"
jan.-22,20 - Agricultura,573 - Difusão do conhecimento científico e tecnológico,"126.973,04","44.039,43","42.460,26","495.821,06"
jan.-22,14 - Direitos da cidadania,423 - Assistência aos povos indígenas,"2.165.409,95","12.705,97","7.427,69","4.334.675,69"
jan.-22,25 - Energia,572 - Desenvolvimento tecnológico e engenharia,"3.468.850,59","2.619.343,65","1.530.434,64","1.179.273,68"
jan.-22,10 - Saúde,125 - Normatização e fiscalização,"1.475.701,08","138.963,76","138.963,76","673.375,03"
jan.-22,04 - Administração,125 - Normatização e fiscalização,"5.180.139,16","3.045.085,17","2.348.344,85","8.269.023,70"
